id,timestamp,stream_type,source_detail,event,duration_ms,correlated_stall_ms,notes
20260506_111217_072,2026-05-06T11:12:17.072157-04:00,spotify,librespot,dropout,3607,,
20260506_135045_714,2026-05-06T13:50:45.714123-04:00,radio,radio,play_start,,,
20260506_135046_720,2026-05-06T13:50:46.720792-04:00,radio,radio,dropout,5732,,
20260506_135140_685,2026-05-06T13:51:40.685822-04:00,radio,radio,play_stop,54971,,session 54s
20260506_141733_227,2026-05-06T14:17:33.227474-04:00,spotify,librespot,play_start,,,
20260506_141804_735,2026-05-06T14:18:04.735538-04:00,spotify,librespot,play_stop,31508,,session 31s
20260506_191422_485,2026-05-06T19:14:22.485259-04:00,spotify,librespot,play_start,,,
20260506_191432_062,2026-05-06T19:14:32.062000-04:00,spotify,librespot,pipe_stall,17819140,,
20260506_191423_217,2026-05-06T19:14:23.217623-04:00,spotify,librespot,dropout,18614,17819140,
20260506_191452_622,2026-05-06T19:14:52.622675-04:00,radio,radio,dropout,4631,0,
20260506_191500_406,2026-05-06T19:15:00.406821-04:00,spotify,librespot,dropout,5263,,
20260506_191537_441,2026-05-06T19:15:37.441580-04:00,spotify,librespot,play_stop,74956,,session 74s
20260506_191817_125,2026-05-06T19:18:17.125407-04:00,spotify,librespot,play_start,,,
20260506_191817_841,2026-05-06T19:18:17.841760-04:00,radio,radio,dropout,4491,,
20260506_195819_058,2026-05-06T19:58:19.058121-04:00,spotify,librespot,play_stop,2401932,,session 2401s
20260506_224526_199,2026-05-06T22:45:26.199844-04:00,spotify,librespot,play_start,,,
20260506_224526_451,2026-05-06T22:45:26.451430-04:00,spotify,librespot,play_stop,251,,session 0s
20260506_235557_537,2026-05-06T23:55:57.537943-04:00,spotify,librespot,play_start,,,
20260506_235558_338,2026-05-06T23:55:58.338038-04:00,spotify,librespot,dropout,4053,,
20260506_235604_665,2026-05-06T23:56:04.665902-04:00,spotify,librespot,dropout,5512,,
20260506_235611_295,2026-05-06T23:56:11.295608-04:00,spotify,librespot,dropout,14213,,
20260506_235626_204,2026-05-06T23:56:26.204394-04:00,spotify,librespot,dropout,4529,,
20260506_235632_804,2026-05-06T23:56:32.804778-04:00,spotify,librespot,play_stop,35266,,session 35s
20260507_074017_858,2026-05-07T07:40:17.858096-04:00,spotify,librespot,play_start,,,
20260507_074018_565,2026-05-07T07:40:18.565364-04:00,spotify,librespot,dropout,3891,,
20260507_074023_771,2026-05-07T07:40:23.771440-04:00,spotify,librespot,play_stop,5913,,session 5s
20260507_121034_538,2026-05-07T12:10:34.538063-04:00,spotify,librespot,play_start,,,
20260507_121035_237,2026-05-07T12:10:35.237704-04:00,spotify,librespot,dropout,4496,,
20260507_121044_038,2026-05-07T12:10:44.038750-04:00,spotify,librespot,dropout,2355,,
20260507_121047_096,2026-05-07T12:10:47.096609-04:00,spotify,librespot,dropout,4184,,
20260507_121052_622,2026-05-07T12:10:52.622635-04:00,spotify,librespot,dropout,3373,,
20260507_121056_755,2026-05-07T12:10:56.755097-04:00,radio,radio,dropout,4812,,
20260507_151320_041,2026-05-07T15:13:20.041454-04:00,radio,radio,dropout,4488,,
20260507_151325_860,2026-05-07T15:13:25.860647-04:00,radio,radio,play_stop,10971322,,session 10971s
20260507_172245_484,2026-05-07T17:22:45.484483-04:00,radio,radio,play_start,,,
20260507_172246_201,2026-05-07T17:22:46.201635-04:00,radio,radio,dropout,5320,,
20260507_172252_852,2026-05-07T17:22:52.852752-04:00,radio,radio,dropout,8638,,
20260507_172302_183,2026-05-07T17:23:02.183034-04:00,radio,radio,dropout,5345,,
20260507_192926_458,2026-05-07T19:29:26.458101-04:00,radio,radio,play_stop,7600973,,session 7600s
20260507_195704_140,2026-05-07T19:57:04.140900-04:00,radio,radio,play_start,,,
20260507_195704_854,2026-05-07T19:57:04.854075-04:00,radio,radio,dropout,5987,,
20260507_205414_340,2026-05-07T20:54:14.340450-04:00,spotify,librespot,play_stop,3430199,,session 3430s
20260508_005828_765,2026-05-08T00:58:28.765718-04:00,spotify,librespot,play_start,,,
20260508_005829_512,2026-05-08T00:58:29.512110-04:00,spotify,librespot,play_stop,746,,session 0s
20260508_083539_371,2026-05-08T08:35:39.371696-04:00,spotify,librespot,play_start,,,
20260508_083540_066,2026-05-08T08:35:40.066879-04:00,spotify,librespot,dropout,3599,,
20260508_083545_007,2026-05-08T08:35:45.007955-04:00,spotify,librespot,play_stop,5636,,session 5s
20260508_131209_938,2026-05-08T13:12:09.938920-04:00,spotify,librespot,play_start,,,
20260508_131210_601,2026-05-08T13:12:10.601620-04:00,spotify,librespot,dropout,13065,,
20260508_131224_362,2026-05-08T13:12:24.362517-04:00,spotify,librespot,dropout,4219,,
20260508_131229_904,2026-05-08T13:12:29.904605-04:00,spotify,librespot,play_stop,19965,,session 19s
20260508_162911_568,2026-05-08T16:29:11.568137-04:00,spotify,librespot,play_start,,,
20260508_162912_263,2026-05-08T16:29:12.263367-04:00,spotify,librespot,dropout,4293,,
20260508_162917_877,2026-05-08T16:29:17.877060-04:00,spotify,librespot,play_stop,6308,,session 6s
20260508_184106_831,2026-05-08T18:41:06.831842-04:00,spotify,librespot,play_start,,,
20260508_184107_495,2026-05-08T18:41:07.495642-04:00,radio,radio,dropout,5689,,
20260508_194125_737,2026-05-08T19:41:25.737550-04:00,radio,radio,dropout,4218,,
20260508_205411_322,2026-05-08T20:54:11.322266-04:00,radio,radio,play_stop,7984490,,session 7984s
20260509_001938_405,2026-05-09T00:19:38.405449-04:00,radio,radio,play_start,,,
20260509_001939_532,2026-05-09T00:19:39.532978-04:00,radio,radio,dropout,17969,,
20260509_001958_203,2026-05-09T00:19:58.203659-04:00,radio,radio,play_stop,19798,,session 19s
20260509_003050_554,2026-05-09T00:30:50.554295-04:00,radio,radio,play_start,,,
20260509_003051_289,2026-05-09T00:30:51.289438-04:00,spotify,librespot,dropout,6784,,
20260509_004428_892,2026-05-09T00:44:28.892363-04:00,spotify,librespot,dropout,2523,,
20260509_004432_126,2026-05-09T00:44:32.126878-04:00,spotify,librespot,dropout,10197,,
20260509_005328_696,2026-05-09T00:53:28.696885-04:00,spotify,librespot,dropout,5271,,
20260509_005405_581,2026-05-09T00:54:05.581943-04:00,spotify,librespot,play_stop,1395027,,session 1395s
20260509_210021_234,2026-05-09T21:00:21.234009-04:00,spotify,librespot,play_start,,,
20260509_210052_863,2026-05-09T21:00:52.863011-04:00,spotify,librespot,play_stop,31629,,session 31s
20260509_210853_857,2026-05-09T21:08:53.857903-04:00,spotify,librespot,play_start,,,
20260509_210854_558,2026-05-09T21:08:54.558832-04:00,spotify,librespot,dropout,4571,,
20260509_210900_445,2026-05-09T21:09:00.445711-04:00,spotify,librespot,dropout,3648,,
20260509_210904_786,2026-05-09T21:09:04.786397-04:00,radio,radio,dropout,4137,,
20260509_225730_772,2026-05-09T22:57:30.772295-04:00,radio,radio,play_stop,6516914,,session 6516s
20260509_225809_031,2026-05-09T22:58:09.031689-04:00,radio,radio,play_start,,,
20260509_225821_375,2026-05-09T22:58:21.375272-04:00,radio,radio,dropout,1879,,
20260509_225829_144,2026-05-09T22:58:29.144818-04:00,radio,radio,play_stop,20113,,session 20s
20260510_005208_063,2026-05-10T00:52:08.063339-04:00,radio,radio,play_start,,,
20260510_005208_771,2026-05-10T00:52:08.771777-04:00,radio,radio,play_stop,708,,session 0s
20260510_191229_434,2026-05-10T19:12:29.434720-04:00,radio,radio,play_start,,,
20260510_191230_113,2026-05-10T19:12:30.113626-04:00,radio,radio,dropout,5419,,
20260510_191236_843,2026-05-10T19:12:36.843670-04:00,radio,radio,dropout,3099,,
20260510_191240_643,2026-05-10T19:12:40.643410-04:00,radio,radio,dropout,6706,,
20260510_210751_222,2026-05-10T21:07:51.222799-04:00,radio,radio,play_stop,6921788,,session 6921s
20260511_001910_686,2026-05-11T00:19:10.686697-04:00,radio,radio,play_start,,,
20260511_001911_409,2026-05-11T00:19:11.409447-04:00,radio,radio,play_stop,722,,session 0s
20260511_190549_487,2026-05-11T19:05:49.487405-04:00,radio,radio,play_start,,,
20260511_190550_222,2026-05-11T19:05:50.222960-04:00,radio,radio,dropout,7010,,
20260511_190558_655,2026-05-11T19:05:58.655263-04:00,radio,radio,dropout,8156,,
20260511_190607_510,2026-05-11T19:06:07.510967-04:00,radio,radio,dropout,5003,,
20260511_210754_402,2026-05-11T21:07:54.402119-04:00,radio,radio,play_stop,7324914,,session 7324s
